File,Article Citation,Accession ID,Last Updated (YYYY-MM-DD HH:MM:SS),PMID,License
oa_package/b7/8e/PMC9354917.tar.gz,Cureus.; 14(7):e26595,PMC9354917,2022-08-08 11:17:46,35936163.0,CC BY
oa_package/5f/ff/PMC11424439.tar.gz,Front Immunol. 2024 Sep 12; 15:1461419,PMC11424439,2024-09-27 10:25:39,39328415.0,CC BY
oa_package/26/df/PMC8567602.tar.gz,Cancer Discov. 2021 Oct 1; 11(10):2620-2637,PMC8567602,2024-10-06 08:25:18,34078620.0,CC BY-NC-ND
oa_package/e1/0d/PMC6817428.tar.gz,Zhongguo Fei Ai Za Zhi. 2019 Oct 20; 22(10):605-614,PMC6817428,2020-12-11 07:16:19,31650941.0,CC BY
oa_package/4f/76/PMC11594334.tar.gz,Int J Mol Sci. 2024 Nov 20; 25(22):12459,PMC11594334,2024-11-28 04:26:25,39596524.0,CC BY
oa_package/df/d0/PMC2821916.tar.gz,PLoS One. 2010 Feb 16; 5(2):e9226,PMC2821916,2018-03-12 19:48:12,20169068.0,CC BY
oa_package/af/85/PMC12342388.tar.gz,Bioinformatics. 2025 Aug 7; 41(8):btaf425,PMC12342388,2025-08-14 21:25:39,40794688.0,CC BY
oa_package/2d/34/PMC9631248.tar.gz,Acta Derm Venereol. 2022 Mar 25; 102:583,PMC9631248,2024-09-05 20:25:58,35312022.0,CC BY-NC
oa_package/93/be/PMC7465834.tar.gz,Polymers (Basel). 2020 Jul 23; 12(8):1640,PMC7465834,2020-09-04 20:39:29,32717998.0,CC BY
oa_package/58/48/PMC8350516.tar.gz,iScience. 2021 Jul 21; 24(8):102889,PMC8350516,2024-04-02 03:25:29,34401670.0,CC BY
oa_package/97/54/PMC6715694.tar.gz,Sci Rep. 2019 Aug 29; 9:12542,PMC6715694,2024-04-19 11:25:15,31467376.0,CC BY
oa_package/cd/09/PMC10579059.tar.gz,Sichuan Da Xue Xue Bao Yi Xue Ban. 2023 Sep 20; 54(5):978-984,PMC10579059,2024-09-26 12:25:15,37866956.0,CC BY-NC
oa_package/08/3e/PMC9565448.tar.gz,PLoS One. 2022 Oct 14; 17(10):e0276304,PMC9565448,2025-02-21 21:25:36,36240214.0,CC BY
oa_package/80/1c/PMC6953020.tar.gz,Cells. 2019 Dec 17; 8(12):1654,PMC6953020,2024-04-21 16:25:12,31861141.0,CC BY
oa_package/be/93/PMC9291437.tar.gz,Cureus.; 14(6):e26032,PMC9291437,2025-08-09 12:25:31,35865430.0,CC BY
oa_package/c9/df/PMC9026449.tar.gz,Cells. 2022 Apr 12; 11(8):1304,PMC9026449,2024-08-25 17:25:14,35455988.0,CC BY
oa_package/a3/55/PMC9584088.tar.gz,Front Cell Infect Microbiol. 2022 Oct 6; 12:976408,PMC9584088,2022-10-24 12:10:14,36275019.0,CC BY
oa_package/e3/d4/PMC10113534.tar.gz,Front Mol Biosci. 2023 Apr 5; 10:1168250,PMC10113534,2024-05-24 18:25:31,37091870.0,CC BY
oa_package/65/ec/PMC11255230.tar.gz,Sci Rep. 2024 Jul 18; 14:16586,PMC11255230,2024-07-18 20:25:26,39020010.0,CC BY
oa_package/fc/8d/PMC8476579.tar.gz,Sci Rep. 2021 Sep 27; 11:19134,PMC8476579,2021-09-30 01:16:36,34580390.0,CC BY
oa_package/12/0b/PMC9687292.tar.gz,RSC Adv.; 12(52):33688-33695,PMC9687292,2022-12-12 20:11:38,36505674.0,CC BY-NC
oa_package/65/ed/PMC7903703.tar.gz,ACS Appl Energy Mater. 2021 Feb 22; 4(2):1763-1773,PMC7903703,2021-03-01 10:16:22,33644701.0,NO-CC CODE
